-------------------------------------------------
List pixels with fired count in range 1 to 100000
-------------------------------------------------

Pixel[x=0982,y=0004] = 0001
Pixel[x=0103,y=0006] = 0024
Pixel[x=0094,y=0007] = 0007
Pixel[x=0077,y=0016] = 0006
Pixel[x=0066,y=0037] = 0005
Pixel[x=0899,y=0037] = 0001
Pixel[x=0014,y=0044] = 0001
Pixel[x=0006,y=0058] = 0006
Pixel[x=0937,y=0059] = 0001
Pixel[x=0479,y=0087] = 0008
Pixel[x=0081,y=0093] = 0003
Pixel[x=0316,y=0100] = 0016
Pixel[x=0914,y=0107] = 9863
Pixel[x=0112,y=0114] = 0001
Pixel[x=0077,y=0128] = 0004
Pixel[x=0926,y=0128] = 0003
Pixel[x=0112,y=0129] = 0016
Pixel[x=0074,y=0135] = 0001
Pixel[x=0059,y=0137] = 0002
Pixel[x=0057,y=0138] = 0002
Pixel[x=0039,y=0157] = 0006
Pixel[x=1019,y=0164] = 0001
Pixel[x=0017,y=0170] = 0003
Pixel[x=0099,y=0171] = 0087
Pixel[x=0944,y=0171] = 0009
Pixel[x=0118,y=0180] = 0054
Pixel[x=0082,y=0184] = 0012
Pixel[x=0968,y=0205] = 0024
Pixel[x=0002,y=0208] = 0001
Pixel[x=0026,y=0217] = 0316
Pixel[x=0017,y=0244] = 0001
Pixel[x=0095,y=0251] = 0001
Pixel[x=0106,y=0254] = 0152
Pixel[x=0956,y=0256] = 0026
Pixel[x=0764,y=0262] = 0002
Pixel[x=0050,y=0263] = 0006
Pixel[x=0073,y=0282] = 0006
Pixel[x=0929,y=0290] = 0001
Pixel[x=0038,y=0305] = 0016
Pixel[x=0938,y=0312] = 0009
Pixel[x=0053,y=0316] = 0003
Pixel[x=0512,y=0323] = 0001
Pixel[x=0003,y=0332] = 0047
Pixel[x=0965,y=0341] = 0001
Pixel[x=0027,y=0342] = 0001
Pixel[x=0899,y=0348] = 0133
Pixel[x=0056,y=0365] = 0001
Pixel[x=0913,y=0376] = 1253
Pixel[x=0077,y=0378] = 0040
Pixel[x=0100,y=0381] = 0024
Pixel[x=0780,y=0383] = 0001
Pixel[x=0066,y=0385] = 0004
Pixel[x=0963,y=0395] = 0001
Pixel[x=0095,y=0400] = 0017
Pixel[x=0007,y=0411] = 0001
Pixel[x=0056,y=0411] = 0001
Pixel[x=0013,y=0424] = 0003
Pixel[x=0980,y=0425] = 0001
Pixel[x=0126,y=0426] = 0043
Pixel[x=0117,y=0428] = 0005
Pixel[x=0116,y=0429] = 0026
Pixel[x=0046,y=0435] = 0041
Pixel[x=0946,y=0446] = 0004
Pixel[x=0054,y=0449] = 0001
Pixel[x=0956,y=0449] = 0006
Pixel[x=0052,y=0454] = 0002
Pixel[x=0097,y=0456] = 0001
Pixel[x=0075,y=0465] = 0041
Pixel[x=0126,y=0466] = 0001
Pixel[x=0980,y=0467] = 0001
Pixel[x=0758,y=0479] = 0623
Pixel[x=0005,y=0484] = 0001
Pixel[x=0092,y=0484] = 1113
Pixel[x=0085,y=0486] = 0002
Pixel[x=0067,y=0493] = 0056
Pixel[x=0096,y=0503] = 0017
