-------------------------------------------------
List pixels with fired count in range 1 to 100000
-------------------------------------------------

Pixel[x=0997,y=0003] = 0001
Pixel[x=0103,y=0006] = 0027
Pixel[x=0094,y=0007] = 0005
Pixel[x=0945,y=0013] = 0001
Pixel[x=0077,y=0016] = 0008
Pixel[x=0066,y=0037] = 0005
Pixel[x=0019,y=0049] = 0003
Pixel[x=0006,y=0058] = 0011
Pixel[x=0047,y=0079] = 0001
Pixel[x=0456,y=0080] = 0001
Pixel[x=0457,y=0080] = 0001
Pixel[x=0479,y=0087] = 0019
Pixel[x=0316,y=0100] = 0019
Pixel[x=0914,y=0107] = 9712
Pixel[x=0077,y=0128] = 0002
Pixel[x=0112,y=0129] = 0009
Pixel[x=0059,y=0137] = 0003
Pixel[x=0057,y=0138] = 0001
Pixel[x=0039,y=0157] = 0005
Pixel[x=0113,y=0168] = 0001
Pixel[x=0017,y=0170] = 0002
Pixel[x=0099,y=0171] = 0064
Pixel[x=0944,y=0171] = 0007
Pixel[x=0931,y=0174] = 0001
Pixel[x=0118,y=0180] = 0054
Pixel[x=0082,y=0184] = 0015
Pixel[x=0926,y=0198] = 0001
Pixel[x=0968,y=0205] = 0018
Pixel[x=0026,y=0217] = 0300
Pixel[x=0259,y=0218] = 0002
Pixel[x=0058,y=0242] = 0001
Pixel[x=0017,y=0244] = 0001
Pixel[x=0106,y=0254] = 0127
Pixel[x=0956,y=0256] = 0029
Pixel[x=0764,y=0262] = 0001
Pixel[x=0050,y=0263] = 0008
Pixel[x=0073,y=0282] = 0006
Pixel[x=0929,y=0290] = 0001
Pixel[x=0059,y=0299] = 0002
Pixel[x=0038,y=0305] = 0013
Pixel[x=0938,y=0312] = 0008
Pixel[x=0053,y=0316] = 0002
Pixel[x=0110,y=0331] = 0001
Pixel[x=0003,y=0332] = 0040
Pixel[x=0027,y=0342] = 0003
Pixel[x=0899,y=0348] = 0113
Pixel[x=0056,y=0365] = 0002
Pixel[x=0572,y=0376] = 0001
Pixel[x=0913,y=0376] = 1244
Pixel[x=0077,y=0378] = 0043
Pixel[x=0100,y=0381] = 0022
Pixel[x=0780,y=0383] = 0001
Pixel[x=0066,y=0385] = 0006
Pixel[x=0095,y=0400] = 0011
Pixel[x=0007,y=0411] = 0001
Pixel[x=0056,y=0411] = 0001
Pixel[x=0013,y=0424] = 0004
Pixel[x=0126,y=0426] = 0033
Pixel[x=0117,y=0428] = 0004
Pixel[x=0116,y=0429] = 0028
Pixel[x=0101,y=0433] = 0001
Pixel[x=0046,y=0435] = 0059
Pixel[x=0946,y=0446] = 0003
Pixel[x=0054,y=0449] = 0003
Pixel[x=0956,y=0449] = 0004
Pixel[x=0052,y=0454] = 0001
Pixel[x=0097,y=0456] = 0001
Pixel[x=0075,y=0465] = 0056
Pixel[x=0980,y=0467] = 0003
Pixel[x=0758,y=0479] = 0614
Pixel[x=0005,y=0484] = 0001
Pixel[x=0092,y=0484] = 1402
Pixel[x=0067,y=0493] = 0064
Pixel[x=0096,y=0503] = 0009
